Año;Mes;PromedioTmedia
2012;11;21,25
2012;12;22,85
2013;1;21,96
2013;2;21,84
2013;3;19,33
2013;4;18,32
2013;5;15,55
2013;6;13,92
2013;7;12,53
2013;8;12,16
2013;9;15,52
2013;10;20,14
2013;11;21,66
2013;12;24,01
2014;1;22,23
2014;2;21,45
2014;3;18,71
2014;4;18,03
2014;5;15,24
2014;6;12,35
2014;7;12,11
2014;8;16,47
2014;9;18,67
2014;10;22,41
2014;11;20,81
2014;12;21,28
2015;1;22,66
2015;2;21,89
2015;3;20,92
2015;4;19,34
2015;5;15,22
2015;6;13,38
2015;7;12,42
2015;8;16,08
2015;9;17,19
2015;10;18,12
2015;11;19,94
2015;12;22,73
2016;1;22,88
2016;2;23,13
2016;3;19,44
2016;4;17,76
2016;5;12,51
2016;6;9,28
2016;7;11,89
2016;8;15,19
2016;9;15,91
2016;10;19,34
2016;11;20,11
2016;12;22,26
2017;1;23,76
2017;2;22,65
2017;3;20,71
2017;4;16,57
2017;5;13,99
2017;6;12,64
2017;7;14,1
2017;8;15,44
2017;9;17,09
2017;10;19,27
2017;11;21,27
2017;12;22,63
2018;1;21,8
2018;2;21,19
2018;3;20,17
2018;4;19,99
2018;5;16,81
